ul_evals,ul_gnorms,ul_steplengths,ul_backtrack_its,ul_itn_times,t_ul_grad,t_ul_steplength,ll_solves_per_ul_it,t_total_lls,hess_res,hess_flag,hess_its,t_hess,ll_gnorms,ll_its,ll_flag,t_ll_solve
44.198009787448896,1.9707310685195887,0.01,0.0,0.7275509834289551,0.608966588973999,0.11858439445495605,2,0.6381571292877197,0.009151594870632834,0,12,0.07615780830383301,0.0008966116504542049,33,0,0.5211005210876465
44.15881853126599,2.0157322828875315,0.012,0.0,0.13231897354125977,0.01507878303527832,0.11724019050598145,1,0.11724019050598145,0.008371019209203806,0,5,0.012105703353881836,0.0009852043191476017,19,0,0.11705660820007324
44.109437778522356,2.070672790282616,0.0144,0.0,0.12311887741088867,0.017886638641357422,0.10523223876953125,1,0.10523223876953125,0.006927827519081792,0,6,0.013219118118286133,0.0006647648457501851,20,0,0.11724019050598145
44.04660310787317,2.1413374348735883,0.01728,0.0,0.11976027488708496,0.019878864288330078,0.09988141059875488,1,0.09988141059875488,0.007507561282234443,0,6,0.015872478485107422,0.0008573369863877146,19,0,0.10523223876953125
43.965563918660116,2.2324817863271007,0.020736,0.0,0.12069511413574219,0.017256498336791992,0.1034386157989502,1,0.1034386157989502,0.00916402660150734,0,6,0.013246774673461914,0.0009811002362686819,17,0,0.09988141059875488
43.859616389975905,2.3508296218364464,0.0248832,0.0,0.12616205215454102,0.021692991256713867,0.10446906089782715,1,0.10446906089782715,0.007558864465335878,0,7,0.016051292419433594,0.0009013055198559898,18,0,0.1034386157989502
43.71763745285219,2.509888577766167,0.02985984,0.0,0.11711645126342773,0.017059803009033203,0.10005664825439453,1,0.10005664825439453,0.009596457313319264,0,7,0.014055252075195312,0.0008130511960560279,19,0,0.10446906089782715
43.52146328429097,2.7289783302796313,0.035831808,0.0,0.13459300994873047,0.019826173782348633,0.1137547492980957,1,0.1137547492980957,0.008483680718385511,0,8,0.016831636428833008,0.0007869419355507472,19,0,0.10005664825439453
43.23960616347086,3.043716847643903,0.0429981696,0.0,0.15408039093017578,0.026443004608154297,0.12663722038269043,1,0.1257033348083496,0.006950789340804474,0,9,0.02344799041748047,0.000977649870228289,18,0,0.1137547492980957
42.810776404524596,3.5222352292270354,0.05159780351999999,0.0,0.16663551330566406,0.02714824676513672,0.1384878158569336,1,0.1384878158569336,0.00663774709351523,0,10,0.024096012115478516,0.0007458177952994678,20,0,0.1257033348083496
42.10170990644292,4.310420398779083,0.06191736422399999,0.0,0.17175912857055664,0.038236379623413086,0.1329967975616455,1,0.1329967975616455,0.007431667887608938,0,11,0.03528738021850586,0.0008047478272609418,22,0,0.1384878158569336
40.765155523283084,5.7724994465619055,0.07430083706879999,0.0,0.1837177276611328,0.03444218635559082,0.1482698917388916,1,0.14727115631103516,0.009455749075470301,0,12,0.0314176082611084,0.0008377387029000086,25,0,0.1329967975616455
37.66117703198809,8.85490710960733,0.08916100448255998,0.0,0.1680910587310791,0.03858494758605957,0.12950611114501953,1,0.12950611114501953,0.006981139752108752,0,15,0.03561043739318848,0.0009790161631811622,24,0,0.14727115631103516
29.235657988529667,11.104231752561947,0.10699320537907198,0.0,0.19337868690490723,0.04816484451293945,0.143463134765625,1,0.143463134765625,0.0075662395684798905,0,18,0.04514193534851074,0.0009459899386236133,23,0,0.12950611114501953
21.47941331245851,17.849789383426483,0.02054269543278182,2.0,0.398212194442749,0.05192089080810547,0.34629130363464355,3,0.34427857398986816,0.009284428355188997,0,21,0.04841160774230957,0.0009745310934971183,26,0,0.143463134765625
19.19362101795629,11.181058265551515,0.024651234519338185,0.0,0.16730833053588867,0.04836535453796387,0.11776232719421387,1,0.11776232719421387,0.009379080396594281,0,17,0.045365333557128906,0.0008316820420982074,23,0,0.13225507736206055
17.834514649052153,8.747615133827141,0.02958148142320582,0.0,0.13190388679504395,0.04993700981140137,0.08196687698364258,1,0.08196687698364258,0.009644082864164037,0,18,0.046427249908447266,0.0005647741756909952,21,0,0.11776232719421387
16.97612340869612,8.5954034111762,0.035497777707846984,0.0,0.15561485290527344,0.039923906326293945,0.11469197273254395,1,0.11371803283691406,0.009658638096451818,0,16,0.03690958023071289,0.000885071397333247,16,0,0.08196687698364258
16.517124667596498,11.31542790015145,0.01703893329976655,1.0,0.26935744285583496,0.04812502861022949,0.219224214553833,2,0.219224214553833,0.007923681493450638,0,20,0.043596506118774414,0.0006211295746819442,22,0,0.11371803283691406
15.495222257462054,4.748358016007766,0.02044671995971986,0.0,0.1543135643005371,0.05127835273742676,0.10206007957458496,1,0.10206007957458496,0.009177641596504036,0,17,0.044775962829589844,0.00047441319887712633,22,0,0.12303829193115234
15.103977961651669,4.0336276285986035,0.02453606395166383,0.0,0.11279726028442383,0.04526400566101074,0.06602978706359863,1,0.06602978706359863,0.008890585350055923,0,15,0.04326438903808594,0.0004328099829770076,17,0,0.10206007957458496
14.73729963087989,3.6889530912104083,0.029443276741996597,0.0,0.11538290977478027,0.03296089172363281,0.08242201805114746,1,0.08141613006591797,0.007876538506412862,0,14,0.029454469680786133,0.0009001264594643643,13,0,0.06602978706359863
14.351672111352645,3.3612839597542457,0.035331932090395916,0.0,0.10251092910766602,0.04036116600036621,0.06114959716796875,1,0.06006503105163574,0.009912682669268112,0,15,0.03834652900695801,0.00038532088064134433,17,0,0.08141613006591797
13.989536161140864,3.027347022018975,0.0423983185084751,0.0,0.137420654296875,0.036202430725097656,0.10070610046386719,1,0.10070610046386719,0.0086746095305014,0,15,0.03173565864562988,0.0009088431286990397,13,0,0.06006503105163574
13.625763503653435,2.780505290040796,0.05087798221017012,0.0,0.11532974243164062,0.0382235050201416,0.07610154151916504,1,0.07610154151916504,0.008754296816140096,0,17,0.035195112228393555,0.0004444704009780394,17,0,0.10070610046386719
13.320688381995444,3.0228846829771796,0.06105357865220414,0.0,0.1206200122833252,0.034173011779785156,0.08644700050354004,1,0.08644700050354004,0.009575488994048378,0,15,0.03058457374572754,0.0008474128394876238,13,0,0.07610154151916504
13.243213517485406,6.863973800322283,0.029305717753057986,1.0,0.3026103973388672,0.04852795600891113,0.2535743713378906,2,0.2535743713378906,0.008288077966747487,0,21,0.04453158378601074,0.0009709792438747779,18,0,0.08644700050354004
13.18926168273393,7.010464888249488,0.014066744521467833,1.0,0.23461389541625977,0.04554629325866699,0.18906760215759277,2,0.18806791305541992,0.007671888938166379,0,20,0.04153275489807129,0.0009028719484689441,24,0,0.13818693161010742
12.80175262794711,2.0795049154145455,0.0168800934257614,0.0,0.11043334007263184,0.06513285636901855,0.04430198669433594,1,0.04430198669433594,0.008108194297745494,0,18,0.05771279335021973,0.0009913737283219022,18,0,0.08561038970947266
12.734537180806909,1.9233517063556365,0.02025611211091368,0.0,0.06280064582824707,0.03153562545776367,0.0312650203704834,1,0.0312650203704834,0.008481910896484911,0,12,0.02860546112060547,0.0009918991511802192,8,0,0.04430198669433594
12.664062217481483,1.863835504653332,0.024307334533096418,0.0,0.07497668266296387,0.027457237243652344,0.04751944541931152,1,0.04651165008544922,0.008343995393904164,0,12,0.02390313148498535,0.0009374993987913095,7,0,0.0312650203704834
12.584216288275295,1.8044902412879318,0.0291688014397157,0.0,0.0644538402557373,0.029676198959350586,0.03477764129638672,1,0.03477764129638672,0.007973098305446197,0,13,0.02555370330810547,0.0007631348568959105,8,0,0.04651165008544922
12.49461003058256,1.7439693291501344,0.03500256172765884,0.0,0.06382179260253906,0.029557228088378906,0.034264564514160156,1,0.03327012062072754,0.009368994834593875,0,13,0.026548385620117188,0.0007898575798692088,8,0,0.03477764129638672
12.392405798418842,1.6783116461684817,0.0420030740731906,0.0,0.07031488418579102,0.032582998275756836,0.03671526908874512,1,0.03671526908874512,0.008711069296394333,0,14,0.029524803161621094,0.0008614867166693134,8,0,0.03327012062072754
12.278444070644662,1.6079655912969124,0.05040368888782872,0.0,0.09551596641540527,0.032218217849731445,0.06229376792907715,1,0.06229376792907715,0.008190616677483343,0,15,0.029574871063232422,0.0009631470694350566,8,0,0.03671526908874512
12.140669030496436,1.533003970660581,0.06048442666539446,0.0,0.09734702110290527,0.03600335121154785,0.06134366989135742,1,0.06134366989135742,0.008170475175187701,0,16,0.031952857971191406,0.000566801019248787,12,0,0.06229376792907715
11.999714150285621,1.4571338571967924,0.07258131199847336,0.0,0.09380912780761719,0.033104658126831055,0.059703826904296875,1,0.059703826904296875,0.009958239795129048,0,16,0.031104564666748047,0.0006094433895973136,13,0,0.06134366989135742
11.850385565053967,1.385550023930747,0.08709757439816802,0.0,0.11719250679016113,0.03846096992492676,0.07873153686523438,1,0.07673072814941406,0.009721925839384206,0,17,0.03546142578125,0.0007251427614346216,13,0,0.059703826904296875
11.689234727073394,1.3691257761593174,0.10451708927780162,0.0,0.17389559745788574,0.056148529052734375,0.11774706840515137,1,0.11624360084533691,0.008839380571671777,0,18,0.05264449119567871,0.0006932346935147863,13,0,0.07673072814941406
11.551961467486041,2.64344116122441,0.020067281141337913,2.0,0.43227458000183105,0.04857206344604492,0.38370251655578613,3,0.38271069526672363,0.009154921096415719,0,21,0.04557299613952637,0.000676710248259908,18,0,0.11624360084533691
11.485537357664134,1.4563165816629182,0.024080737369605493,0.0,0.11541318893432617,0.041428565979003906,0.07304978370666504,1,0.07304978370666504,0.007840512717435216,0,16,0.03738713264465332,0.000940891988283974,13,0,0.07718038558959961
11.448949982128365,1.2879150773799495,0.02889688484352659,0.0,0.06865334510803223,0.04472494125366211,0.022927045822143555,1,0.022927045822143555,0.0086531378967311,0,14,0.04120135307312012,0.0009066990181698021,10,0,0.07304978370666504
11.420983777424699,1.2492629658165073,0.03467626181223191,0.0,0.07368254661560059,0.029161930084228516,0.04352092742919922,1,0.04352092742919922,0.009279610748544337,0,12,0.02515101432800293,0.0009437617638963801,5,0,0.022927045822143555
11.359134683998798,1.2470858518384866,0.04161151417467829,0.0,0.09437131881713867,0.0358424186706543,0.057528018951416016,1,0.05654716491699219,0.009736622107842405,0,14,0.032341718673706055,0.0008305547078883627,9,0,0.04352092742919922
11.299498894904117,1.2994444932173195,0.04993381700961395,0.0,0.12745237350463867,0.06093025207519531,0.06551551818847656,1,0.06452512741088867,0.008785027744609462,0,14,0.057930946350097656,0.0007698170094079489,9,0,0.05654716491699219
11.23430832289042,1.6487378583011452,0.059920580411536736,0.0,0.15842533111572266,0.058786630630493164,0.09862160682678223,1,0.09862160682678223,0.008837431352313508,0,17,0.053198814392089844,0.0007147714312371433,13,0,0.06452512741088867
11.221114202461903,3.4759822040534205,0.028761878597537635,1.0,0.3286557197570801,0.04320573806762695,0.2844412326812744,2,0.2844412326812744,0.007806787237031518,0,18,0.03966808319091797,0.0007349350453361419,14,0,0.09862160682678223
11.153713359865543,3.1128958573122474,0.013805701726818066,1.0,0.2195279598236084,0.059247732162475586,0.15918374061584473,2,0.15817952156066895,0.00984028069779015,0,20,0.052153587341308594,0.000984936799002408,22,0,0.1358015537261963
11.087985124801033,1.144699011467764,0.01656684207218168,0.0,0.05912446975708008,0.04001140594482422,0.01911306381225586,1,0.01911306381225586,0.009957379620546724,0,16,0.03497743606567383,0.0007672135273329944,13,0,0.06666207313537598
11.077955828542272,1.1307215121594962,0.019880210486618016,0.0,0.06214570999145508,0.022564172744750977,0.03858327865600586,1,0.03858327865600586,0.009262746665311484,0,9,0.0205690860748291,0.0007735608197867854,4,0,0.01911306381225586
11.04523203097063,1.1237207418537636,0.02385625258394162,0.0,0.04596996307373047,0.025461673736572266,0.020508289337158203,1,0.020508289337158203,0.009844011406782791,0,10,0.022282838821411133,0.0005500036968397013,8,0,0.03858327865600586
11.030984958659495,1.1187110507229652,0.02862750310072994,0.0,0.06908679008483887,0.029158830642700195,0.038997650146484375,1,0.03849434852600098,0.008673764765856034,0,12,0.0265655517578125,0.0009534749156332764,4,0,0.020508289337158203
10.980790041272066,1.1098946385662414,0.03435300372087593,0.0,0.10425543785095215,0.04129648208618164,0.062033653259277344,1,0.06103658676147461,0.00843429423025,0,13,0.034021615982055664,0.0007663780001509534,8,0,0.03849434852600098
10.94552209310992,1.1012565457590735,0.04122360446505111,0.0,0.07246899604797363,0.036914825439453125,0.03555417060852051,1,0.03352975845336914,0.00810566382673607,0,14,0.03426098823547363,0.0008082237381085386,8,0,0.06103658676147461
10.901396778013122,1.0914982018369281,0.04946832535806133,0.0,0.0814669132232666,0.035361289978027344,0.04511618614196777,1,0.04511618614196777,0.009298309396614498,0,14,0.03234243392944336,0.0008462859010769194,7,0,0.03352975845336914
10.83720115605634,1.0786385444653859,0.05936199042967359,0.0,0.07931160926818848,0.03540945053100586,0.04290318489074707,1,0.04290318489074707,0.009156810464294124,0,15,0.0324101448059082,0.0008580362457660263,9,0,0.04511618614196777
10.772353596242093,1.066069406373378,0.0712343885156083,0.0,0.13997364044189453,0.04199862480163574,0.09797501564025879,1,0.09697127342224121,0.008918995213424425,0,16,0.038782358169555664,0.0009107215858212847,9,0,0.04290318489074707
10.67711603297965,1.073874177112409,0.08548126621872996,0.0,0.10357451438903809,0.04170727729797363,0.06089329719543457,1,0.06089329719543457,0.009141335473592438,0,17,0.03773069381713867,0.0005985028876269859,13,0,0.09697127342224121
10.606265323532483,1.5479292154589364,0.041031007784990386,1.0,0.2771573066711426,0.04769563674926758,0.229461669921875,2,0.2277836799621582,0.009321302130042482,0,19,0.04462242126464844,0.0007352664257703076,12,0,0.06089329719543457
10.564609496427357,2.222675988134073,0.019694883736795385,1.0,0.26467418670654297,0.0436701774597168,0.22000551223754883,2,0.22000551223754883,0.00973873595111044,0,18,0.04066586494445801,0.0007022099539046215,17,0,0.11882615089416504
10.514167518176857,1.1930449975989716,0.023633860484154463,0.0,0.11552286148071289,0.05832982063293457,0.0561978816986084,1,0.0561978816986084,0.009321451234235164,0,17,0.05073261260986328,0.0008847210270350786,14,0,0.09771609306335449
10.490911735587845,1.0616503133544255,0.028360632580985354,0.0,0.0886545181274414,0.04287099838256836,0.04578351974487305,1,0.045241594314575195,0.008220664996231291,0,14,0.03886222839355469,0.0008661927851356725,8,0,0.0561978816986084
10.477247956028238,1.035769617839179,0.034032759097182425,0.0,0.08849620819091797,0.035375118255615234,0.05212116241455078,1,0.05212116241455078,0.008778690995789887,0,15,0.03237509727478027,0.00042748527144816144,8,0,0.045241594314575195
10.449202563614628,1.0449692126961436,0.04083931091661891,0.0,0.07154440879821777,0.03126406669616699,0.03926515579223633,1,0.03926515579223633,0.008955217872466378,0,12,0.026703357696533203,0.0006571450156711643,7,0,0.05212116241455078
10.415837930788172,1.12340569644312,0.04900717309994269,0.0,0.10138344764709473,0.03820228576660156,0.06217670440673828,1,0.06117701530456543,0.009184843912470809,0,16,0.03568863868713379,0.000759873459607751,8,0,0.03926515579223633
10.371240426420673,1.5495429397864342,0.023523443087972492,1.0,0.22507238388061523,0.03517770767211914,0.1888890266418457,2,0.1878986358642578,0.009244449113179605,0,14,0.032158613204956055,0.0007768993653198593,9,0,0.06117701530456543
